id_studenta;imię;nazwisko;uczelnia;miejsce_zam;rok_studiow;dochod_na_osobe
1274;Jolanta;Tomczak;Akademia Sztuk Pieknych;Strzelce Opolskie;I;3335
920;Natalia;Sikorska;Akademia Sztuk Pieknych;Swietochlowice;I;2452
842;Bogdan;Benedykt;Akademia Sztuk Pieknych;Swinoujscie;I;2228
149;Marek;Bakucha;Akademia Sztuk Pieknych;Szczyrk;I;3313
477;Miroslaw;Chochowski;Akademia Sztuk Pieknych;Tarnobrzeg;I;2625
1298;Mikolaj;Szala;Akademia Sztuk Pieknych;Tarnobrzeg;I;2325
1362;Mikolaj;Grochalski;Akademia Sztuk Pieknych;Tarnobrzeg;I;1047
832;Cezar;Adamski;Akademia Sztuk Pieknych;Tarnowskie Gory;IV;1316
1376;Ewa;Pustelnik;Akademia Sztuk Pieknych;Trzebinia;I;1449
619;Jan;Razny;Akademia Sztuk Pieknych;Tworog;III;1732
1109;Lucyna;Sokolowska;Akademia Sztuk Pieknych;Tworog;V;2832
567;Filip;Baczek;Akademia Sztuk Pieknych;Tychy;I;459
1466;Anna;Balcerek;Akademia Sztuk Pieknych;Tychy;I;1624
706;Gertruda;Rzasowska;Akademia Sztuk Pieknych;Wagrowiec;II;2877
1179;Ewa;Pawluk;Akademia Sztuk Pieknych;Walbrzych;I;3218
899;Dorota;Marchewka;Akademia Sztuk Pieknych;Wisla;III;1632
1581;Lechoslaw;Bitwa;Akademia Sztuk Pieknych;Wojkowice;I;1641
187;Franciszek;Szombierski;Akademia Sztuk Pieknych;Wolbrom;III;698
1560;Bartosz;Pawlik;Akademia Sztuk Pieknych;Zakopane;I;2115
1564;Ziemowit;Szczepanski;Akademia Sztuk Pieknych;Zywiec;III;1834
1570;Anna;Dudek;Akademia Sztuk Pieknych;Zywiec;II;3196
701;Beata;Stan;Politechnika Informatyczno-Elektroniczna;Aleksandrow Kujawski;I;2033
449;Konstanty;Banasikowski;Politechnika Informatyczno-Elektroniczna;Alwernia;I;2568
924;Pawel;Banasiak;Politechnika Informatyczno-Elektroniczna;Alwernia;I;3317
213;Beata;Kowalczyk;Politechnika Informatyczno-Elektroniczna;Bedzin;V;2191
657;Marcin;Bienkowski;Politechnika Informatyczno-Elektroniczna;Bedzin;I;3025
688;Magdalena;Nadarzyn;Politechnika Informatyczno-Elektroniczna;Bedzin;I;1880
1169;Julia;Adamiak;Politechnika Informatyczno-Elektroniczna;Bedzin;I;2254
1218;Alicja;Strojna;Politechnika Informatyczno-Elektroniczna;Bedzin;I;2838
1508;Michal;Kowalski;Politechnika Informatyczno-Elektroniczna;Bedzin;V;2706
1583;Janusz;Kmicic;Politechnika Informatyczno-Elektroniczna;Bedzin;I;1121
489;Karina;Kwiatkowska;Politechnika Informatyczno-Elektroniczna;Biala Podlaska;IV;2751
1574;Karol;Wiercioch;Politechnika Informatyczno-Elektroniczna;Biala Podlaska;III;1875
629;Marek;Nosowski;Politechnika Informatyczno-Elektroniczna;Bialaszewo;I;486
767;Edyta;Kurdzielewicz;Politechnika Informatyczno-Elektroniczna;Bialystok;I;2710
954;Mateusz;Kawicki;Politechnika Informatyczno-Elektroniczna;Bielsk Podlaski;I;3253
78;Karina;Wozniak;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;V;2485
102;Stefan;Biegajski;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;II;1837
399;Seweryna;Kotek;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;II;949
645;Katarzyna;Kwiecien;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;II;772
815;Anastazja;Majewska;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;II;1476
971;Anna;Szafranska;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;I;1671
991;Wieslaw;Bananowski;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;II;2930
1285;Izabella;Wlodarczak;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;I;1069
1278;Marcin;Bydgoski;Politechnika Informatyczno-Elektroniczna;Bochnia;I;578
1506;Boguslawa;Kowalska;Politechnika Informatyczno-Elektroniczna;Bochnia;III;2453
902;Jakub;Malarski;Politechnika Informatyczno-Elektroniczna;Bozewo;IV;2104
143;Juliusz;Blazowski;Politechnika Informatyczno-Elektroniczna;Bransk;IV;3144
630;Kamil;Kwiatkowski;Politechnika Informatyczno-Elektroniczna;Bransk;IV;3318
670;Ewelina;Kobus;Politechnika Informatyczno-Elektroniczna;Bransk;I;811
735;Michal;Galas;Politechnika Informatyczno-Elektroniczna;Bydgoszcz;I;2461
484;Bartosz;Zalecki;Politechnika Informatyczno-Elektroniczna;Bytom;I;1127
791;Fryderyka;Radecka;Politechnika Informatyczno-Elektroniczna;Bytom;III;1004
935;Pawel;Banasiewicz;Politechnika Informatyczno-Elektroniczna;Bytom;I;579
1305;Alfred;Babalewski;Politechnika Informatyczno-Elektroniczna;Bytom;I;2451
686;Maciej;Poradisz;Politechnika Informatyczno-Elektroniczna;Chalupki;III;3037
819;Roman;Jakubczyk;Politechnika Informatyczno-Elektroniczna;Chalupki;II;1621
220;Adrianna;Gorska;Politechnika Informatyczno-Elektroniczna;Chelm;IV;719
1217;Boguslaw;Olszewski;Politechnika Informatyczno-Elektroniczna;Chelm;II;1256
250;Kamil;Dabrowski;Politechnika Informatyczno-Elektroniczna;Chorzow;I;749
418;Jaroslaw;Krema;Politechnika Informatyczno-Elektroniczna;Chorzow;V;1777
784;Magdalena;Batycka;Politechnika Informatyczno-Elektroniczna;Chorzow;I;819
1083;Anna;Kubiak;Politechnika Informatyczno-Elektroniczna;Chorzow;I;3222
25;Tomasz;Tutaj;Politechnika Informatyczno-Elektroniczna;Chyzne;II;3079
406;Ewelina;Katowicka;Politechnika Informatyczno-Elektroniczna;Chyzne;I;2357
703;Hanna;Okularczyk;Politechnika Informatyczno-Elektroniczna;Cieszyn;I;507
779;Adam;Tuszynski;Politechnika Informatyczno-Elektroniczna;Cieszyn;I;2269
49;Anna;Tabor;Politechnika Informatyczno-Elektroniczna;Czestochowa;I;1777
166;Grazyna;Chrust;Politechnika Informatyczno-Elektroniczna;Czestochowa;I;792
318;Aleksander;Biborski;Politechnika Informatyczno-Elektroniczna;Czestochowa;III;3254
511;Tomasz;Kajdasiewicz;Politechnika Informatyczno-Elektroniczna;Czestochowa;III;1486
1408;Joanna;Warzecha;Politechnika Informatyczno-Elektroniczna;Czestochowa;III;833
1449;Jan;Majewski;Politechnika Informatyczno-Elektroniczna;Czestochowa;I;2899
368;Karol;Anarchista;Politechnika Informatyczno-Elektroniczna;Dabrowa Gornicza;II;2716
1009;Celestyna;Ozga;Politechnika Informatyczno-Elektroniczna;Dabrowa Gornicza;II;1377
1028;Honorata;Jasinska;Politechnika Informatyczno-Elektroniczna;Dabrowa Gornicza;II;530
1485;Patryk;Barcikowski;Politechnika Informatyczno-Elektroniczna;Dabrowa Gornicza;I;2031
1503;Malgorzata;Podsiadlo;Politechnika Informatyczno-Elektroniczna;Daszyna;I;1164
75;Witold;Basik;Politechnika Informatyczno-Elektroniczna;Debica;II;2428
859;Karolina;Bromska;Politechnika Informatyczno-Elektroniczna;Debica;I;2480
918;Aleksy;Wur;Politechnika Informatyczno-Elektroniczna;Debica;V;1021
1455;Marcin;Szumowski;Politechnika Informatyczno-Elektroniczna;Deblin;I;1310
161;Malgorzata;Szulim;Politechnika Informatyczno-Elektroniczna;Debowiec;I;1899
809;Artur;Binkowski;Politechnika Informatyczno-Elektroniczna;Debowiec;I;1149
1447;Janusz;Rys;Politechnika Informatyczno-Elektroniczna;Debowiec;V;1216
175;Dariusz;Adamus;Politechnika Informatyczno-Elektroniczna;Debrzno;I;813
969;Rafal;Rybak;Politechnika Informatyczno-Elektroniczna;Dobieszowice;II;1366
1195;Ewa;Szczublewska;Politechnika Informatyczno-Elektroniczna;Dobieszowice;I;420
817;Oskar;Kozlowski;Politechnika Informatyczno-Elektroniczna;Dobre Miasto;I;1767
1513;Maciej;Kaminski;Politechnika Informatyczno-Elektroniczna;Dobre Miasto;III;1509
400;Jowita;Adamska;Politechnika Informatyczno-Elektroniczna;Elblag;IV;1771
952;Kamil;Bartnik;Politechnika Informatyczno-Elektroniczna;Elblag;I;1718
1417;Malgorzata;Balinska;Politechnika Informatyczno-Elektroniczna;Elblag;I;1709
522;Jolanta;Turlej;Politechnika Informatyczno-Elektroniczna;Elk;V;3344
262;Wawrzyniec;Kozina;Politechnika Informatyczno-Elektroniczna;Gdansk;I;2700
960;Ryszard;Grabowski;Politechnika Informatyczno-Elektroniczna;Gdansk;III;728
137;Janusz;Aleksandrowicz;Politechnika Informatyczno-Elektroniczna;Gdynia;I;2701
676;Oskar;Kolodziej;Politechnika Informatyczno-Elektroniczna;Gdynia;II;1535
905;Jaromir;Szybki;Politechnika Informatyczno-Elektroniczna;Gieblo;IV;679
1461;Rafal;Radwan;Politechnika Informatyczno-Elektroniczna;Gieblo;IV;2914
1542;Kamil;Baranowski;Politechnika Informatyczno-Elektroniczna;Gieblo;I;2743
582;Beata;Cagara;Politechnika Informatyczno-Elektroniczna;Gieraltowice;IV;1698
840;Sebastian;Carek;Politechnika Informatyczno-Elektroniczna;Gieraltowice;II;2328
180;Roman;Persinski;Politechnika Informatyczno-Elektroniczna;Gliwice;II;1431
361;Krzysztof;Lis;Politechnika Informatyczno-Elektroniczna;Gliwice;I;2032
390;Emilia;Katanak;Politechnika Informatyczno-Elektroniczna;Gliwice;I;1422
417;Mateusz;Majewski;Politechnika Informatyczno-Elektroniczna;Gliwice;II;2270
543;Jan;Chylak;Politechnika Informatyczno-Elektroniczna;Gliwice;I;1224
1308;Kinga;Pogoda;Politechnika Informatyczno-Elektroniczna;Gliwice;I;3213
1369;Joanna;Majeczek;Politechnika Informatyczno-Elektroniczna;Gliwice;I;3060
1474;Marcin;Budzisz;Politechnika Informatyczno-Elektroniczna;Gliwice;I;1837
1554;Czeslaw;Kawa;Politechnika Informatyczno-Elektroniczna;Gliwice;I;3138
1027;Anna;Krakowska;Politechnika Informatyczno-Elektroniczna;Glubczyce;I;3035
239;Piotr;Nowicki;Politechnika Informatyczno-Elektroniczna;Glucholazy;IV;1121
835;Filip;Balica;Politechnika Informatyczno-Elektroniczna;Glucholazy;I;1617
975;Krystyna;Brylka;Politechnika Informatyczno-Elektroniczna;Glucholazy;V;2256
1071;Karolina;Biegajczyk;Politechnika Informatyczno-Elektroniczna;Glucholazy;I;2054
1149;Mariusz;Adamowiczek;Politechnika Informatyczno-Elektroniczna;Glucholazy;I;2393
121;Konstancja;Raszyn;Politechnika Informatyczno-Elektroniczna;Gorki Male;II;2946
495;Franciszka;Czemisow;Politechnika Informatyczno-Elektroniczna;Gorki Male;II;456
1561;Marek;Majcher;Politechnika Informatyczno-Elektroniczna;Gorzow Wielkopolski;I;3128
452;Kinga;Celeborska;Politechnika Informatyczno-Elektroniczna;Gostyn;I;940
1515;Jozafat;Marcinkiewicz;Politechnika Informatyczno-Elektroniczna;Gostyn;III;3054
1599;Agnieszka;Garbaczyk;Politechnika Informatyczno-Elektroniczna;Gostyn;I;2910
98;Waclawa;Kasperek;Politechnika Informatyczno-Elektroniczna;Grudziadz;II;2710
778;Sebastian;Kalicki;Politechnika Informatyczno-Elektroniczna;Grudziadz;II;1441
1523;Tomasz;Gwozdziewicz;Politechnika Informatyczno-Elektroniczna;Grudziadz;II;1995
279;Tadeusz;Regulski;Politechnika Informatyczno-Elektroniczna;Gryfice;I;1075
1425;Adam;Prokop;Politechnika Informatyczno-Elektroniczna;Gubin;I;898
92;Maciej;Golec;Politechnika Informatyczno-Elektroniczna;Halinow;II;1906
210;Marek;Lichwa;Politechnika Informatyczno-Elektroniczna;Hrebenne;V;2321
1604;Anna;Czernicka;Politechnika Informatyczno-Elektroniczna;Hrebenne;I;2437
533;Maciej;Knapik;Politechnika Informatyczno-Elektroniczna;Istebna;IV;1056
536;Bozena;Chmielewska;Politechnika Informatyczno-Elektroniczna;Istebna;II;1835
1205;Agnieszka;Malicka;Politechnika Informatyczno-Elektroniczna;Istebna;I;644
313;Izolda;Jaros;Politechnika Informatyczno-Elektroniczna;Jakuszyce;I;2207
436;Marta;Gilowska;Politechnika Informatyczno-Elektroniczna;Jaslo;I;1572
1213;Maja;Jedrzejczyk;Politechnika Informatyczno-Elektroniczna;Jaslo;I;838
1498;Dawid;Adamek;Politechnika Informatyczno-Elektroniczna;Jaslo;I;1512
466;Paulina;Dykiel;Politechnika Informatyczno-Elektroniczna;Jastrzebie-Zdroj;I;1995
1579;Piotr;Smietanski;Politechnika Informatyczno-Elektroniczna;Jastrzebie-Zdroj;IV;3233
141;Aleksy;Pobereznik;Politechnika Informatyczno-Elektroniczna;Jaworzno;III;3152
1036;Jozef;Maj;Politechnika Informatyczno-Elektroniczna;Jaworzno;II;1191
100;Malgorzata;Balcerzak;Politechnika Informatyczno-Elektroniczna;Jaworzynka;I;748
153;Olga;Berus;Politechnika Informatyczno-Elektroniczna;Jaworzynka;I;2791
444;Karol;Mroczek;Politechnika Informatyczno-Elektroniczna;Jaworzynka;V;2947
725;Pawel;Beryl;Politechnika Informatyczno-Elektroniczna;Jedrzejow;I;2101
775;Mateusz;Cisek;Politechnika Informatyczno-Elektroniczna;Jedrzejow;I;2376
889;Anna;Oman;Politechnika Informatyczno-Elektroniczna;Jedrzejow;I;1445
722;Jakub;Kanciala;Politechnika Informatyczno-Elektroniczna;Jejkowice;I;2021
1031;Franciszek;Piaty;Politechnika Informatyczno-Elektroniczna;Jejkowice;IV;1202
1135;Iwona;Kedrak;Politechnika Informatyczno-Elektroniczna;Jezewo;III;3062
1499;Ewa;Malkowska;Politechnika Informatyczno-Elektroniczna;Jezewo;I;1388
837;Oskar;Ryba;Politechnika Informatyczno-Elektroniczna;Jozefow;II;2275
813;Beata;Nowotarska;Politechnika Informatyczno-Elektroniczna;Julianka;I;443
1057;Wioletta;Maciejewska;Politechnika Informatyczno-Elektroniczna;Kalisz;V;668
79;Michal;Kostrzewa;Politechnika Informatyczno-Elektroniczna;Katowice;III;2267
327;Klaudia;Kotowicz;Politechnika Informatyczno-Elektroniczna;Katowice;I;1950
376;Urszula;Wawrzynczyk;Politechnika Informatyczno-Elektroniczna;Katowice;II;856
404;Jan;Ciebiera;Politechnika Informatyczno-Elektroniczna;Katowice;I;2898
524;Daniel;Filipek;Politechnika Informatyczno-Elektroniczna;Katowice;I;2302
525;Beata;Dabrowska;Politechnika Informatyczno-Elektroniczna;Katowice;II;2576
596;Milosz;Michalski;Politechnika Informatyczno-Elektroniczna;Katowice;II;493
614;Tomasz;Basinski;Politechnika Informatyczno-Elektroniczna;Katowice;II;1032
723;Julia;Pondo;Politechnika Informatyczno-Elektroniczna;Katowice;I;1019
790;Patryk;Gruszka;Politechnika Informatyczno-Elektroniczna;Katowice;III;2625
841;Karol;Wlodek;Politechnika Informatyczno-Elektroniczna;Katowice;IV;2534
891;Paulina;Wierzchowska;Politechnika Informatyczno-Elektroniczna;Katowice;I;1554
894;Tadeusz;Kotowicz;Politechnika Informatyczno-Elektroniczna;Katowice;II;1950
972;Malgorzata;Koczorowska;Politechnika Informatyczno-Elektroniczna;Katowice;I;431
1023;Edyta;Wojcik;Politechnika Informatyczno-Elektroniczna;Katowice;III;2649
1056;Serafin;Symanski;Politechnika Informatyczno-Elektroniczna;Katowice;II;683
1094;Elzbieta;Matczak;Politechnika Informatyczno-Elektroniczna;Katowice;V;1528
1121;Dominika;Pudlowicz;Politechnika Informatyczno-Elektroniczna;Katowice;I;2824
1216;Beata;Podlaska;Politechnika Informatyczno-Elektroniczna;Katowice;I;354
1282;Borys;Zimnowoda;Politechnika Informatyczno-Elektroniczna;Katowice;I;1058
105;Michal;Bilski;Politechnika Informatyczno-Elektroniczna;Kedzierzyn-Kozle;II;2807
413;Anastazja;Gruzin;Politechnika Informatyczno-Elektroniczna;Kedzierzyn-Kozle;V;983
420;Mateusz;Orlicki;Politechnika Informatyczno-Elektroniczna;Kedzierzyn-Kozle;I;2467
726;Paulina;Bulejska;Politechnika Informatyczno-Elektroniczna;Kedzierzyn-Kozle;I;1286
992;Roman;Szumylowicz;Politechnika Informatyczno-Elektroniczna;Kedzierzyn-Kozle;IV;1176
1064;Michalina;Busz;Politechnika Informatyczno-Elektroniczna;Kedzierzyn-Kozle;IV;639
1237;Dominik;Balik;Politechnika Informatyczno-Elektroniczna;Kedzierzyn-Kozle;II;1068
1247;Janina;Giza;Politechnika Informatyczno-Elektroniczna;Kedzierzyn-Kozle;I;3335
1304;Alicja;Kwiecinska;Politechnika Informatyczno-Elektroniczna;Kedzierzyn-Kozle;I;632
1383;Danuta;Krak;Politechnika Informatyczno-Elektroniczna;Kedzierzyn-Kozle;I;2171
1505;Eustachy;Czyrnek;Politechnika Informatyczno-Elektroniczna;Kedzierzyn-Kozle;IV;536
1591;Karol;Szymanski;Politechnika Informatyczno-Elektroniczna;Kepice;I;2706
1319;Jerzy;Zambrowicz;Politechnika Informatyczno-Elektroniczna;Kety;I;515
194;Michal;Prazuch;Politechnika Informatyczno-Elektroniczna;Kielce;V;2534
1060;Karina;Siwczynska;Politechnika Informatyczno-Elektroniczna;Kielce;III;1035
1418;Justyna;Sliwinska;Politechnika Informatyczno-Elektroniczna;Kielce;I;2818
788;Waclawa;Zaba;Politechnika Informatyczno-Elektroniczna;Kleszczow;IV;2347
1255;Juliusz;Linek;Politechnika Informatyczno-Elektroniczna;Kleszczow;I;1244
1572;Zygfryd;Lechowski;Politechnika Informatyczno-Elektroniczna;Kleszczow;I;2032
125;Jaroslaw;Bajda;Politechnika Informatyczno-Elektroniczna;Klomnice;I;1182
371;Kaja;Karnawal;Politechnika Informatyczno-Elektroniczna;Klomnice;IV;2377
474;Wiera;Augustowska;Politechnika Informatyczno-Elektroniczna;Klomnice;II;872
1119;Adam;Beben;Politechnika Informatyczno-Elektroniczna;Kobylin;I;2162
437;Honorata;Caban;Politechnika Informatyczno-Elektroniczna;Kogutek;II;689
752;Kinga;Krol;Politechnika Informatyczno-Elektroniczna;Kogutek;III;3262
1120;Roksana;Kajka;Politechnika Informatyczno-Elektroniczna;Kogutek;II;2036
5;Pawel;Milek;Politechnika Informatyczno-Elektroniczna;Koniakow;IV;1459
36;Bartosz;Samek;Politechnika Informatyczno-Elektroniczna;Koniakow;I;543
298;Alicja;Miskowiec;Politechnika Informatyczno-Elektroniczna;Koniakow;V;2730
337;Jagna;Meller;Politechnika Informatyczno-Elektroniczna;Koniakow;V;3247
915;Wojciech;Augustowski;Politechnika Informatyczno-Elektroniczna;Koniakow;II;814
1159;Szymon;Brandys;Politechnika Informatyczno-Elektroniczna;Koniakow;II;2119
1563;Mieczyslaw;Zuchowski;Politechnika Informatyczno-Elektroniczna;Koniakow;I;1745
424;Tomasz;Bronikowski;Politechnika Informatyczno-Elektroniczna;Konin;I;1304
941;Sylwia;Filipowicz;Politechnika Informatyczno-Elektroniczna;Koscian;II;2693
271;Seweryn;Wawa;Politechnika Informatyczno-Elektroniczna;Kostrzyn;IV;1309
13;Kamil;Berakacz;Politechnika Informatyczno-Elektroniczna;Krapkowice;I;1765
101;Kacper;Wosik;Politechnika Informatyczno-Elektroniczna;Krapkowice;I;2343
467;Adam;Bednarczyk;Politechnika Informatyczno-Elektroniczna;Krapkowice;I;1303
1373;Piotr;Baranski;Politechnika Informatyczno-Elektroniczna;Krosno;I;2861
1374;Barbara;Kaczmarek;Politechnika Informatyczno-Elektroniczna;Krosno;II;2792
140;Karina;Mikolajczak;Politechnika Informatyczno-Elektroniczna;Kruszwica;I;642
631;Adam;Banas;Politechnika Informatyczno-Elektroniczna;Krzeszowice;I;1991
922;Malgorzata;Janowska;Politechnika Informatyczno-Elektroniczna;Krzeszowice;II;1464
1080;Jerzy;Obornicki;Politechnika Informatyczno-Elektroniczna;Krzeszowice;I;2015
301;Eleonora;Mrowka;Politechnika Informatyczno-Elektroniczna;Kuznia Raciborska;I;2064
352;Jadwiga;Beben;Politechnika Informatyczno-Elektroniczna;Kuznia Raciborska;V;2998
394;Adam;Loziczonek;Politechnika Informatyczno-Elektroniczna;Kuznia Raciborska;II;2100
836;Patrycja;Kantor;Politechnika Informatyczno-Elektroniczna;Kuznia Raciborska;IV;534
1257;Anna;Sobol;Politechnika Informatyczno-Elektroniczna;Kuznia Raciborska;I;1204
1340;Jan;Wilczek;Politechnika Informatyczno-Elektroniczna;Kuznia Raciborska;I;1387
148;Magdalena;Wawrzyn;Politechnika Informatyczno-Elektroniczna;Ledziny;I;1189
600;Marcin;Jader;Politechnika Informatyczno-Elektroniczna;Ledziny;I;1074
1440;Natalia;Zawalinska;Politechnika Informatyczno-Elektroniczna;Ledziny;I;1082
453;Mateusz;Bednarek;Politechnika Informatyczno-Elektroniczna;Legionowo;I;507
1072;Kajetan;Kuzon;Politechnika Informatyczno-Elektroniczna;Legionowo;I;1249
278;Karolina;Weiss;Politechnika Informatyczno-Elektroniczna;Legnica;I;871
1501;Elzbieta;Kosinska;Politechnika Informatyczno-Elektroniczna;Legnica;I;2455
386;Tomasz;Nawrot;Politechnika Informatyczno-Elektroniczna;Leszno;II;383
398;Karol;Zalewski;Politechnika Informatyczno-Elektroniczna;Leszno;I;2978
521;Teresa;Gryglak;Politechnika Informatyczno-Elektroniczna;Limanowa;II;3117
570;Krzysztof;Chorzyk;Politechnika Informatyczno-Elektroniczna;Limanowa;I;1037
711;Anna;Bugajska;Politechnika Informatyczno-Elektroniczna;Limanowa;I;412
741;Roman;Kolek;Politechnika Informatyczno-Elektroniczna;Limanowa;I;674
1062;Danuta;Bialecka;Politechnika Informatyczno-Elektroniczna;Limanowa;I;685
1103;Elzbieta;Matuszewska;Politechnika Informatyczno-Elektroniczna;Limanowa;I;1140
1166;Dariusz;Konczak;Politechnika Informatyczno-Elektroniczna;Limanowa;I;2351
1042;Maksym;Majewski;Politechnika Informatyczno-Elektroniczna;Lomza;III;1309
67;Anna;Barcikowska;Politechnika Informatyczno-Elektroniczna;Lubaczow;I;3099
407;Kinga;Wronska;Politechnika Informatyczno-Elektroniczna;Lubaczow;II;3271
134;Michal;Salacinski;Politechnika Informatyczno-Elektroniczna;Lublin;II;1608
787;Jolanta;Zarebska;Politechnika Informatyczno-Elektroniczna;Lublin;I;885
1335;Aleksandra;Piotrowska;Politechnika Informatyczno-Elektroniczna;Lublin;I;1210
1118;Przemyslaw;Lipert;Politechnika Informatyczno-Elektroniczna;Lubliniec;II;1929
1138;Stanislaw;Zelazko;Politechnika Informatyczno-Elektroniczna;Lubliniec;V;1363
1248;Dorota;Chojnacka;Politechnika Informatyczno-Elektroniczna;Lubliniec;III;2107
1272;Natalia;Rybinska;Politechnika Informatyczno-Elektroniczna;Lubliniec;I;2872
184;Anna;Owsianka;Politechnika Informatyczno-Elektroniczna;Lwowek Slaski;III;429
625;Jan;Trzmielewski;Politechnika Informatyczno-Elektroniczna;Lwowek Slaski;II;2094
1155;Jadwiga;Chaberow;Politechnika Informatyczno-Elektroniczna;Medyka;I;2396
636;Pawel;Janowicz;Politechnika Informatyczno-Elektroniczna;Miechow;I;2133
1053;Adam;Wolski;Politechnika Informatyczno-Elektroniczna;Miechow;I;3241
1085;Andrzej;Blasik;Politechnika Informatyczno-Elektroniczna;Miechow;I;2289
1128;Jan;Bialek;Politechnika Informatyczno-Elektroniczna;Miechow;I;1686
1232;Helena;Bliszczyk;Politechnika Informatyczno-Elektroniczna;Miechow;I;2104
447;Lucjusz;Tokarczyk;Politechnika Informatyczno-Elektroniczna;Mikolajki;II;985
1558;Andrzej;Balicki;Politechnika Informatyczno-Elektroniczna;Mikolajki;I;2463
150;Teofil;Chudy;Politechnika Informatyczno-Elektroniczna;Mikolow;II;2530
328;Mateusz;Bartoszewski;Politechnika Informatyczno-Elektroniczna;Mikolow;I;2149
874;Marek;Markiewicz;Politechnika Informatyczno-Elektroniczna;Mikolow;I;620
1051;Anastazja;Grabowska;Politechnika Informatyczno-Elektroniczna;Mikolow;V;2706
1076;Witold;Muraszkowski;Politechnika Informatyczno-Elektroniczna;Mikolow;II;1357
1078;Janusz;Sekula;Politechnika Informatyczno-Elektroniczna;Mikolow;I;850
1137;Izabella;Chorzowik;Politechnika Informatyczno-Elektroniczna;Mikolow;I;2409
1177;Wojciech;Mielczarek;Politechnika Informatyczno-Elektroniczna;Mikolow;III;1485
1208;Maciej;Skoczylas;Politechnika Informatyczno-Elektroniczna;Mikolow;I;1809
1407;Jolanta;Guryn;Politechnika Informatyczno-Elektroniczna;Mikolow;I;2391
1585;Mateusz;Symanski;Politechnika Informatyczno-Elektroniczna;Mikolow;V;955
518;Tadeusz;Krason;Politechnika Informatyczno-Elektroniczna;Mlynarze;IV;1894
1552;Krystiana;Wolna;Politechnika Informatyczno-Elektroniczna;Mlynarze;III;2215
868;Jerzy;Kaktus;Politechnika Informatyczno-Elektroniczna;Mordy;I;2732
